name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Ninja,5,1,0,80,11,1040,20,0,0,0.1,1.5,0,0,500,500,0
,,2,0,130,19,1690,24,0,0,0.1,1.5,0,0,550,550,0
,,3,0,190,27,2470,28,0,0,0.1,1.5,0,0,600,600,0
,,4,0,330,47,4290,32,0,0,0.1,1.5,0,0,650,650,0
,,5,0,490,70,6370,36,0,0,0.1,1.5,0,0,700,700,0
,,6,0,710,101,9230,46,0,0,0.1,1.5,0,0,750,750,0
,,7,0,1270,181,16510,56,0,0,0.1,1.5,0,0,800,800,0
,,8,0,1610,230,20930,66,0,0,0.1,1.5,0,0,850,850,0
,,9,0,2030,290,26390,76,0,0,0.1,1.5,0,0,900,900,0
,,10,0,2530,361,32890,86,0,0,0.1,1.5,0,0,950,950,0
,,11,0,3130,447,40690,96,0,0,0.1,1.5,0,0,1000,1000,0
,,12,0,3850,550,50050,106,0,0,0.1,1.5,0,0,1050,1050,0
,,13,0,5775,825,75075,127,0,0,0.1,1.5,0,0,1155,1155,0
,,1,1,4,1,52,0,0,0,0,0,0,0,0,0,0
,,2,1,5,1,65,0,0,0,0,0,0,0,0,0,0
,,3,1,6,1,78,0,0,0,0,0,0,0,0,0,0
,,4,1,7,1,91,0,0,0,0,0,0,0,0,0,0
,,5,1,8,1,104,0,0,0,0,0,0,0,0,0,0
,,6,1,11,2,143,0,0,0,0,0,0,0,0,0,0
,,7,1,14,2,182,0,0,0,0,0,0,0,0,0,0
,,8,1,17,2,221,0,0,0,0,0,0,0,0,0,0
,,9,1,21,3,273,0,0,0,0,0,0,0,0,0,0
,,10,1,25,4,325,0,0,0,0,0,0,0,0,0,0
,,11,1,30,4,390,0,0,0,0,0,0,0,0,0,0
,,12,1,36,5,468,0,0,0,0,0,0,0,0,0,0
,,13,1,54,7,702,0,0,0,0,0,0,0,0,0,0
