name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Imp,1,1,0,108,15,1326,20,0,0.3,0.1,1.5,0,0,550,495,0
,,2,0,176,25,2155,24,0,0.3,0.1,1.5,0,0,605,545,0
,,3,0,257,37,3149,28,0,0.3,0.1,1.5,0,0,660,594,0
,,4,0,446,64,5470,32,0,0.3,0.1,1.5,0,0,715,644,0
,,5,0,662,95,8122,36,0,0.3,0.1,1.5,0,0,770,693,0
,,6,0,959,137,11768,46,0,0.3,0.1,1.5,0,0,825,743,0
,,7,0,1715,245,21050,55,0,0.3,0.1,1.5,0,0,880,792,0
,,8,0,2174,311,26686,65,0,0.3,0.1,1.5,0,0,935,842,0
,,9,0,2741,392,33647,75,0,0.3,0.1,1.5,0,0,990,891,0
,,10,0,3416,488,41935,85,0,0.3,0.1,1.5,0,0,1045,941,0
,,11,0,4226,604,51880,95,0,0.3,0.1,1.5,0,0,1100,990,0
,,12,0,5198,743,63814,105,0,0.3,0.1,1.5,0,0,1155,1040,0
,,13,0,7797,1114,95721,126,0,0.3,0.1,1.5,0,0,1270,1144,0
,,1,1,5,1,66,0,0,0,0,0,0,0,0,0,0
,,2,1,7,1,83,0,0,0,0,0,0,0,0,0,0
,,3,1,8,1,100,0,0,0,0,0,0,0,0,0,0
,,4,1,10,1,116,0,0,0,0,0,0,0,0,0,0
,,5,1,11,2,133,0,0,0,0,0,0,0,0,0,0
,,6,1,15,2,182,0,0,0,0,0,0,0,0,0,0
,,7,1,19,3,232,0,0,0,0,0,0,0,0,0,0
,,8,1,23,3,282,0,0,0,0,0,0,0,0,0,0
,,9,1,28,4,348,0,0,0,0,0,0,0,0,0,0
,,10,1,34,5,414,0,0,0,0,0,0,0,0,0,0
,,11,1,41,6,497,0,0,0,0,0,0,0,0,0,0
,,12,1,49,7,597,0,0,0,0,0,0,0,0,0,0
,,13,1,73,10,895,0,0,0,0,0,0,0,0,0,0
