name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Kaboom,5,1,0,180,26,2340,24,0,0,0.1,1.5,0,0,605,605,0
,,2,0,293,42,3803,29,0,0,0.1,1.5,0,0,666,666,0
,,3,0,428,61,5558,34,0,0,0.1,1.5,0,0,726,726,0
,,4,0,743,106,9653,39,0,0,0.1,1.5,0,0,787,787,0
,,5,0,1103,158,14333,44,0,0,0.1,1.5,0,0,847,847,0
,,6,0,1598,228,20768,56,0,0,0.1,1.5,0,0,908,908,0
,,7,0,2858,408,37148,68,0,0,0.1,1.5,0,0,968,968,0
,,8,0,3623,518,47093,80,0,0,0.1,1.5,0,0,1029,1029,0
,,9,0,4568,653,59378,92,0,0,0.1,1.5,0,0,1089,1089,0
,,10,0,5693,813,74003,104,0,0,0.1,1.5,0,0,1150,1150,0
,,11,0,7043,1006,91553,116,0,0,0.1,1.5,0,0,1210,1210,0
,,12,0,8663,1238,112613,128,0,0,0.1,1.5,0,0,1271,1271,0
,,13,0,12994,1857,168919,153,0,0,0.1,1.5,0,0,1398,1398,0
,,1,1,9,1,117,0,0,0,0,0,0,0,0,0,0
,,2,1,11,2,146,0,0,0,0,0,0,0,0,0,0
,,3,1,14,2,176,0,0,0,0,0,0,0,0,0,0
,,4,1,16,2,205,0,0,0,0,0,0,0,0,0,0
,,5,1,18,3,234,0,0,0,0,0,0,0,0,0,0
,,6,1,25,4,322,0,0,0,0,0,0,0,0,0,0
,,7,1,32,5,410,0,0,0,0,0,0,0,0,0,0
,,8,1,38,6,497,0,0,0,0,0,0,0,0,0,0
,,9,1,47,7,614,0,0,0,0,0,0,0,0,0,0
,,10,1,56,8,731,0,0,0,0,0,0,0,0,0,0
,,11,1,68,10,878,0,0,0,0,0,0,0,0,0,0
,,12,1,81,12,1053,0,0,0,0,0,0,0,0,0,0
,,13,1,121,18,1579,0,0,0,0,0,0,0,0,0,0
