name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Tilion,3,1,0,298,40,5019,28,0,0.2,0.1,1.5,0,0,717,695,0
,,2,0,485,65,8156,33,0,0.2,0.1,1.5,0,0,789,765,0
,,3,0,709,95,11921,39,0,0.2,0.1,1.5,0,0,861,835,0
,,4,0,1231,165,20705,45,0,0.2,0.1,1.5,0,0,933,904,0
,,5,0,1827,246,30743,50,0,0.2,0.1,1.5,0,0,1004,974,0
,,6,0,2648,356,44546,64,0,0.2,0.1,1.5,0,0,1076,1043,0
,,7,0,4736,637,79681,78,0,0.2,0.1,1.5,0,0,1148,1113,0
,,8,0,6004,807,101013,92,0,0.2,0.1,1.5,0,0,1220,1182,0
,,9,0,7571,1018,127365,106,0,0.2,0.1,1.5,0,0,1291,1252,0
,,10,0,9435,1269,158735,120,0,0.2,0.1,1.5,0,0,1363,1321,0
,,11,0,11673,1569,196380,134,0,0.2,0.1,1.5,0,0,1435,1391,0
,,12,0,14358,1931,241554,147,0,0.2,0.1,1.5,0,0,1507,1460,0
,,13,0,22370,3023,376446,174,0,0.2,0.1,1.5,0,0,1687,1625,0
,,1,1,15,2,251,0,0,0,0,0,0,0,0,0,0
,,2,1,19,3,314,0,0,0,0,0,0,0,0,0,0
,,3,1,22,3,376,0,0,0,0,0,0,0,0,0,0
,,4,1,26,4,439,0,0,0,0,0,0,0,0,0,0
,,5,1,30,4,502,0,0,0,0,0,0,0,0,0,0
,,6,1,41,6,690,0,0,0,0,0,0,0,0,0,0
,,7,1,52,7,878,0,0,0,0,0,0,0,0,0,0
,,8,1,63,9,1067,0,0,0,0,0,0,0,0,0,0
,,9,1,78,11,1318,0,0,0,0,0,0,0,0,0,0
,,10,1,93,13,1569,0,0,0,0,0,0,0,0,0,0
,,11,1,112,15,1882,0,0,0,0,0,0,0,0,0,0
,,12,1,134,18,2259,0,0,0,0,0,0,0,0,0,0
,,13,1,194,30,3366,0,0,0,0,0,0,0,0,0,0
