name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Wisecedar,3,1,0,388,52,6525,31,0,0,0.1,1.5,0,0,789,765,0
,,2,0,630,85,10603,37,0,0,0.1,1.5,0,0,868,841,0
,,3,0,921,124,15497,43,0,0,0.1,1.5,0,0,947,918,0
,,4,0,1600,215,26916,49,0,0,0.1,1.5,0,0,1026,994,0
,,5,0,2376,319,39966,55,0,0,0.1,1.5,0,0,1105,1071,0
,,6,0,3442,463,57910,70,0,0,0.1,1.5,0,0,1184,1147,0
,,7,0,6157,828,103586,86,0,0,0.1,1.5,0,0,1263,1224,0
,,8,0,7806,1049,131317,101,0,0,0.1,1.5,0,0,1342,1300,0
,,9,0,9842,1323,165574,116,0,0,0.1,1.5,0,0,1420,1377,0
,,10,0,12266,1649,206356,132,0,0,0.1,1.5,0,0,1499,1453,0
,,11,0,15175,2040,255294,147,0,0,0.1,1.5,0,0,1578,1530,0
,,12,0,18666,2510,314020,162,0,0,0.1,1.5,0,0,1657,1606,0
,,13,0,29091,3717,489385,202,0,0,0.1,1.5,0,0,1854,1788,0
,,1,1,19,3,326,0,0,0,0,0,0,0,0,0,0
,,2,1,24,3,408,0,0,0,0,0,0,0,0,0,0
,,3,1,29,4,489,0,0,0,0,0,0,0,0,0,0
,,4,1,34,5,571,0,0,0,0,0,0,0,0,0,0
,,5,1,39,5,653,0,0,0,0,0,0,0,0,0,0
,,6,1,53,7,897,0,0,0,0,0,0,0,0,0,0
,,7,1,68,9,1142,0,0,0,0,0,0,0,0,0,0
,,8,1,82,11,1387,0,0,0,0,0,0,0,0,0,0
,,9,1,102,14,1713,0,0,0,0,0,0,0,0,0,0
,,10,1,121,16,2039,0,0,0,0,0,0,0,0,0,0
,,11,1,145,20,2447,0,0,0,0,0,0,0,0,0,0
,,12,1,175,24,2936,0,0,0,0,0,0,0,0,0,0
,,13,1,267,29,4358,0,0,0,0,0,0,0,0,0,0
