name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Arryl,4,1,0,433,52,4449,35,0,0,0.1,1.5,0,0,886,886,0
,,2,0,704,85,7230,43,0,0,0.1,1.5,0,0,974,974,0
,,3,0,1030,124,10566,50,0,0,0.1,1.5,0,0,1063,1063,0
,,4,0,1788,215,18352,57,0,0,0.1,1.5,0,0,1152,1152,0
,,5,0,2655,319,27250,64,0,0,0.1,1.5,0,0,1240,1240,0
,,6,0,3847,463,39484,81,0,0,0.1,1.5,0,0,1329,1329,0
,,7,0,6882,828,70627,99,0,0,0.1,1.5,0,0,1417,1417,0
,,8,0,8724,1049,89535,117,0,0,0.1,1.5,0,0,1506,1506,0
,,9,0,11000,1323,112891,135,0,0,0.1,1.5,0,0,1594,1594,0
,,10,0,13709,1649,140697,152,0,0,0.1,1.5,0,0,1683,1683,0
,,11,0,16960,2040,174064,170,0,0,0.1,1.5,0,0,1772,1772,0
,,12,0,20861,2510,214105,188,0,0,0.1,1.5,0,0,1860,1860,0
,,13,0,32508,3917,333675,230,0,0,0.1,1.5,0,0,2075,2075,0
,,1,1,22,3,222,0,0,0,0,0,0,0,0,0,0
,,2,1,27,3,278,0,0,0,0,0,0,0,0,0,0
,,3,1,33,4,334,0,0,0,0,0,0,0,0,0,0
,,4,1,38,5,389,0,0,0,0,0,0,0,0,0,0
,,5,1,43,5,445,0,0,0,0,0,0,0,0,0,0
,,6,1,60,7,612,0,0,0,0,0,0,0,0,0,0
,,7,1,76,9,779,0,0,0,0,0,0,0,0,0,0
,,8,1,92,11,945,0,0,0,0,0,0,0,0,0,0
,,9,1,114,14,1168,0,0,0,0,0,0,0,0,0,0
,,10,1,136,16,1390,0,0,0,0,0,0,0,0,0,0
,,11,1,163,20,1668,0,0,0,0,0,0,0,0,0,0
,,12,1,195,24,2002,0,0,0,0,0,0,0,0,0,0
,,13,1,287,29,2977,0,0,0,0,0,0,0,0,0,0
