name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Cennunos,2,1,0,433,78,7118,26,0,0,0.1,1.5,0,0,684,644,0
,,2,0,704,127,11567,31,0,0,0.1,1.5,0,0,753,709,0
,,3,0,1030,186,16906,36,0,0,0.1,1.5,0,0,821,773,0
,,4,0,1788,323,29363,41,0,0,0.1,1.5,0,0,890,837,0
,,5,0,2655,479,43599,46,0,0,0.1,1.5,0,0,958,902,0
,,6,0,3847,694,63175,59,0,0,0.1,1.5,0,0,1027,966,0
,,7,0,6882,1242,113003,72,0,0,0.1,1.5,0,0,1095,1031,0
,,8,0,8724,1574,143255,85,0,0,0.1,1.5,0,0,1164,1095,0
,,9,0,11000,1985,180626,98,0,0,0.1,1.5,0,0,1232,1160,0
,,10,0,13709,2474,225116,111,0,0,0.1,1.5,0,0,1300,1224,0
,,11,0,16960,3060,278503,124,0,0,0.1,1.5,0,0,1369,1288,0
,,12,0,20861,3764,342567,137,0,0,0.1,1.5,0,0,1437,1353,0
,,13,0,31291,5646,513850,164,0,0,0.1,1.5,0,0,1580,1488,0
,,1,1,22,4,356,0,0,0,0,0,0,0,0,0,0
,,2,1,27,5,445,0,0,0,0,0,0,0,0,0,0
,,3,1,33,6,534,0,0,0,0,0,0,0,0,0,0
,,4,1,38,7,623,0,0,0,0,0,0,0,0,0,0
,,5,1,43,8,712,0,0,0,0,0,0,0,0,0,0
,,6,1,60,11,979,0,0,0,0,0,0,0,0,0,0
,,7,1,76,14,1246,0,0,0,0,0,0,0,0,0,0
,,8,1,92,17,1513,0,0,0,0,0,0,0,0,0,0
,,9,1,114,21,1869,0,0,0,0,0,0,0,0,0,0
,,10,1,136,24,2225,0,0,0,0,0,0,0,0,0,0
,,11,1,163,29,2669,0,0,0,0,0,0,0,0,0,0
,,12,1,195,35,3203,0,0,0,0,0,0,0,0,0,0
,,13,1,292,52,4804,0,0,0,0,0,0,0,0,0,0
