name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Yang,1,1,0,316,45,3879,26,0,0.3,0.1,1.5,0,0,732,659,0
,,2,0,513,73,6303,32,0,0.3,0.1,1.5,0,0,805,725,0
,,3,0,750,107,9212,37,0,0.3,0.1,1.5,0,0,878,791,0
,,4,0,1303,186,15999,42,0,0.3,0.1,1.5,0,0,952,856,0
,,5,0,1935,276,23756,47,0,0.3,0.1,1.5,0,0,1025,922,0
,,6,0,2804,401,34422,61,0,0.3,0.1,1.5,0,0,1098,988,0
,,7,0,5015,716,61572,74,0,0.3,0.1,1.5,0,0,1171,1054,0
,,8,0,6357,908,78056,87,0,0.3,0.1,1.5,0,0,1244,1120,0
,,9,0,8016,1145,98418,100,0,0.3,0.1,1.5,0,0,1318,1186,0
,,10,0,9990,1427,122659,113,0,0.3,0.1,1.5,0,0,1391,1252,0
,,11,0,12360,1766,151748,126,0,0.3,0.1,1.5,0,0,1464,1318,0
,,12,0,15203,2172,186655,140,0,0.3,0.1,1.5,0,0,1537,1384,0
,,13,0,23685,3379,290892,180,0,0.3,0.1,1.5,0,0,1719,1549,0
,,1,1,16,2,194,0,0,0,0,0,0,0,0,0,0
,,2,1,20,3,242,0,0,0,0,0,0,0,0,0,0
,,3,1,24,3,291,0,0,0,0,0,0,0,0,0,0
,,4,1,28,4,339,0,0,0,0,0,0,0,0,0,0
,,5,1,32,5,388,0,0,0,0,0,0,0,0,0,0
,,6,1,43,6,533,0,0,0,0,0,0,0,0,0,0
,,7,1,55,8,679,0,0,0,0,0,0,0,0,0,0
,,8,1,67,10,824,0,0,0,0,0,0,0,0,0,0
,,9,1,83,12,1018,0,0,0,0,0,0,0,0,0,0
,,10,1,99,14,1212,0,0,0,0,0,0,0,0,0,0
,,11,1,119,17,1455,0,0,0,0,0,0,0,0,0,0
,,12,1,142,20,1745,0,0,0,0,0,0,0,0,0,0
,,13,1,204,25,2582,0,0,0,0,0,0,0,0,0,0
