name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Noroth,5,1,0,456,65,5932,32,0,0,0.1,1.5,0,0,805,805,0
,,2,0,741,106,9639,39,0,0,0.1,1.5,0,0,886,886,0
,,3,0,1084,155,14088,45,0,0,0.1,1.5,0,0,966,966,0
,,4,0,1882,269,24469,52,0,0,0.1,1.5,0,0,1047,1047,0
,,5,0,2795,399,36333,58,0,0,0.1,1.5,0,0,1127,1127,0
,,6,0,4050,579,52646,74,0,0,0.1,1.5,0,0,1208,1208,0
,,7,0,7244,1035,94169,90,0,0,0.1,1.5,0,0,1288,1288,0
,,8,0,9183,1312,119379,106,0,0,0.1,1.5,0,0,1369,1369,0
,,9,0,11579,1654,150522,122,0,0,0.1,1.5,0,0,1449,1449,0
,,10,0,14430,2061,187596,139,0,0,0.1,1.5,0,0,1530,1530,0
,,11,0,17853,2550,232086,155,0,0,0.1,1.5,0,0,1611,1611,0
,,12,0,21959,3137,285473,171,0,0,0.1,1.5,0,0,1691,1691,0
,,13,0,32938,4705,428209,205,0,0,0.1,1.5,0,0,1860,1860,0
,,1,1,23,3,297,0,0,0,0,0,0,0,0,0,0
,,2,1,29,4,371,0,0,0,0,0,0,0,0,0,0
,,3,1,34,5,445,0,0,0,0,0,0,0,0,0,0
,,4,1,40,6,519,0,0,0,0,0,0,0,0,0,0
,,5,1,46,7,593,0,0,0,0,0,0,0,0,0,0
,,6,1,63,9,816,0,0,0,0,0,0,0,0,0,0
,,7,1,80,11,1038,0,0,0,0,0,0,0,0,0,0
,,8,1,97,14,1261,0,0,0,0,0,0,0,0,0,0
,,9,1,120,17,1557,0,0,0,0,0,0,0,0,0,0
,,10,1,143,20,1854,0,0,0,0,0,0,0,0,0,0
,,11,1,171,24,2225,0,0,0,0,0,0,0,0,0,0
,,12,1,205,29,2669,0,0,0,0,0,0,0,0,0,0
,,13,1,307,43,4003,0,0,0,0,0,0,0,0,0,0
