name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Sylph,4,1,0,333,40,3422,32,0,0,0.1,1.5,0,0,805,805,0
,,2,0,542,65,5561,39,0,0,0.1,1.5,0,0,886,886,0
,,3,0,792,95,8128,45,0,0,0.1,1.5,0,0,966,966,0
,,4,0,1375,165,14117,52,0,0,0.1,1.5,0,0,1047,1047,0
,,5,0,2042,246,20961,58,0,0,0.1,1.5,0,0,1127,1127,0
,,6,0,2959,356,30372,74,0,0,0.1,1.5,0,0,1208,1208,0
,,7,0,5294,637,54328,90,0,0,0.1,1.5,0,0,1288,1288,0
,,8,0,6711,807,68873,106,0,0,0.1,1.5,0,0,1369,1369,0
,,9,0,8461,1018,86840,122,0,0,0.1,1.5,0,0,1449,1449,0
,,10,0,10545,1269,108229,139,0,0,0.1,1.5,0,0,1530,1530,0
,,11,0,13046,1569,133896,155,0,0,0.1,1.5,0,0,1611,1611,0
,,12,0,16047,1931,164696,171,0,0,0.1,1.5,0,0,1691,1691,0
,,13,0,25007,3023,256666,214,0,0,0.1,1.5,0,0,1886,1886,0
,,1,1,17,2,171,0,0,0,0,0,0,0,0,0,0
,,2,1,21,3,214,0,0,0,0,0,0,0,0,0,0
,,3,1,25,3,257,0,0,0,0,0,0,0,0,0,0
,,4,1,29,4,299,0,0,0,0,0,0,0,0,0,0
,,5,1,33,4,342,0,0,0,0,0,0,0,0,0,0
,,6,1,46,6,471,0,0,0,0,0,0,0,0,0,0
,,7,1,58,7,599,0,0,0,0,0,0,0,0,0,0
,,8,1,71,9,727,0,0,0,0,0,0,0,0,0,0
,,9,1,88,11,898,0,0,0,0,0,0,0,0,0,0
,,10,1,104,13,1070,0,0,0,0,0,0,0,0,0,0
,,11,1,125,15,1283,0,0,0,0,0,0,0,0,0,0
,,12,1,150,18,1540,0,0,0,0,0,0,0,0,0,0
,,13,1,220,31,2300,0,0,0,0,0,0,0,0,0,0
