name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Neutar,2,1,0,333,60,5476,23,0,0,0.1,1.5,0,0,622,586,0
,,2,0,542,98,8898,28,0,0,0.1,1.5,0,0,684,644,0
,,3,0,792,143,13005,33,0,0,0.1,1.5,0,0,747,703,0
,,4,0,1375,248,22587,37,0,0,0.1,1.5,0,0,809,761,0
,,5,0,2042,369,33538,42,0,0,0.1,1.5,0,0,871,820,0
,,6,0,2959,534,48596,54,0,0,0.1,1.5,0,0,933,878,0
,,7,0,5294,955,86925,66,0,0,0.1,1.5,0,0,996,937,0
,,8,0,6711,1211,110196,77,0,0,0.1,1.5,0,0,1058,996,0
,,9,0,8461,1527,138943,89,0,0,0.1,1.5,0,0,1120,1054,0
,,10,0,10545,1903,173166,101,0,0,0.1,1.5,0,0,1182,1113,0
,,11,0,13046,2354,214233,112,0,0,0.1,1.5,0,0,1244,1171,0
,,12,0,16047,2896,263513,124,0,0,0.1,1.5,0,0,1307,1230,0
,,13,0,23550,3688,410668,154,0,0,0.1,1.5,0,0,1470,1385,0
,,1,1,17,3,274,0,0,0,0,0,0,0,0,0,0
,,2,1,21,4,342,0,0,0,0,0,0,0,0,0,0
,,3,1,25,5,411,0,0,0,0,0,0,0,0,0,0
,,4,1,29,5,479,0,0,0,0,0,0,0,0,0,0
,,5,1,33,6,548,0,0,0,0,0,0,0,0,0,0
,,6,1,46,8,753,0,0,0,0,0,0,0,0,0,0
,,7,1,58,11,958,0,0,0,0,0,0,0,0,0,0
,,8,1,71,13,1164,0,0,0,0,0,0,0,0,0,0
,,9,1,88,16,1437,0,0,0,0,0,0,0,0,0,0
,,10,1,104,19,1711,0,0,0,0,0,0,0,0,0,0
,,11,1,125,23,2053,0,0,0,0,0,0,0,0,0,0
,,12,1,150,27,2464,0,0,0,0,0,0,0,0,0,0
,,13,1,225,37,3666,0,0,0,0,0,0,0,0,0,0
