name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Lothíriel,5,1,0,270,39,3510,27,0,0,0.1,1.5,0,0,666,666,0
,,2,0,439,63,5704,32,0,0,0.1,1.5,0,0,732,732,0
,,3,0,641,92,8336,37,0,0,0.1,1.5,0,0,799,799,0
,,4,0,1114,159,14479,43,0,0,0.1,1.5,0,0,865,865,0
,,5,0,1654,236,21499,48,0,0,0.1,1.5,0,0,932,932,0
,,6,0,2396,342,31151,61,0,0,0.1,1.5,0,0,998,998,0
,,7,0,4286,612,55721,75,0,0,0.1,1.5,0,0,1065,1065,0
,,8,0,5434,776,70639,88,0,0,0.1,1.5,0,0,1131,1131,0
,,9,0,6851,979,89066,101,0,0,0.1,1.5,0,0,1198,1198,0
,,10,0,8539,1220,111004,114,0,0,0.1,1.5,0,0,1264,1264,0
,,11,0,10564,1509,137329,128,0,0,0.1,1.5,0,0,1331,1331,0
,,12,0,12994,1856,168919,141,0,0,0.1,1.5,0,0,1398,1398,0
,,13,0,19491,2784,253378,169,0,0,0.1,1.5,0,0,1537,1537,0
,,1,1,14,2,176,0,0,0,0,0,0,0,0,0,0
,,2,1,17,2,219,0,0,0,0,0,0,0,0,0,0
,,3,1,20,3,263,0,0,0,0,0,0,0,0,0,0
,,4,1,24,3,307,0,0,0,0,0,0,0,0,0,0
,,5,1,27,4,351,0,0,0,0,0,0,0,0,0,0
,,6,1,37,5,483,0,0,0,0,0,0,0,0,0,0
,,7,1,47,7,614,0,0,0,0,0,0,0,0,0,0
,,8,1,57,8,746,0,0,0,0,0,0,0,0,0,0
,,9,1,71,10,921,0,0,0,0,0,0,0,0,0,0
,,10,1,84,12,1097,0,0,0,0,0,0,0,0,0,0
,,11,1,101,15,1316,0,0,0,0,0,0,0,0,0,0
,,12,1,122,17,1580,0,0,0,0,0,0,0,0,0,0
,,13,1,183,25,2370,0,0,0,0,0,0,0,0,0,0
