name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Berko,2,1,0,114,21,1872,18,0,0,0.1,1.5,0,0,468,440,0
,,2,0,185,33,3042,21,0,0,0.1,1.5,0,0,514,484,0
,,3,0,271,49,4446,25,0,0,0.1,1.5,0,0,561,528,0
,,4,0,470,85,7722,28,0,0,0.1,1.5,0,0,608,572,0
,,5,0,698,126,11466,32,0,0,0.1,1.5,0,0,655,616,0
,,6,0,1012,183,16614,40,0,0,0.1,1.5,0,0,701,660,0
,,7,0,1810,327,29718,49,0,0,0.1,1.5,0,0,748,704,0
,,8,0,2294,414,37674,58,0,0,0.1,1.5,0,0,795,748,0
,,9,0,2893,522,47502,67,0,0,0.1,1.5,0,0,842,792,0
,,10,0,3605,651,59202,76,0,0,0.1,1.5,0,0,888,836,0
,,11,0,4460,805,73242,84,0,0,0.1,1.5,0,0,935,880,0
,,12,0,5486,990,90090,93,0,0,0.1,1.5,0,0,982,924,0
,,13,0,8229,1485,135135,111,0,0,0.1,1.5,0,0,1080,1016,0
,,1,1,6,1,94,0,0,0,0,0,0,0,0,0,0
,,2,1,7,1,117,0,0,0,0,0,0,0,0,0,0
,,3,1,9,2,140,0,0,0,0,0,0,0,0,0,0
,,4,1,10,2,164,0,0,0,0,0,0,0,0,0,0
,,5,1,11,2,187,0,0,0,0,0,0,0,0,0,0
,,6,1,16,3,257,0,0,0,0,0,0,0,0,0,0
,,7,1,20,4,328,0,0,0,0,0,0,0,0,0,0
,,8,1,24,4,398,0,0,0,0,0,0,0,0,0,0
,,9,1,30,5,491,0,0,0,0,0,0,0,0,0,0
,,10,1,36,6,585,0,0,0,0,0,0,0,0,0,0
,,11,1,43,8,702,0,0,0,0,0,0,0,0,0,0
,,12,1,51,9,842,0,0,0,0,0,0,0,0,0,0
,,13,1,76,13,1263,0,0,0,0,0,0,0,0,0,0
