name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Oakroot,4,1,0,171,21,1755,27,0,0,0.1,1.5,0,0,666,666,0
,,2,0,278,33,2852,32,0,0,0.1,1.5,0,0,732,732,0
,,3,0,406,49,4168,37,0,0,0.1,1.5,0,0,799,799,0
,,4,0,705,85,7239,43,0,0,0.1,1.5,0,0,865,865,0
,,5,0,1047,126,10749,48,0,0,0.1,1.5,0,0,932,932,0
,,6,0,1518,183,15576,61,0,0,0.1,1.5,0,0,998,998,0
,,7,0,2715,327,27861,75,0,0,0.1,1.5,0,0,1065,1065,0
,,8,0,3441,414,35319,88,0,0,0.1,1.5,0,0,1131,1131,0
,,9,0,4339,522,44533,101,0,0,0.1,1.5,0,0,1198,1198,0
,,10,0,5408,651,55502,114,0,0,0.1,1.5,0,0,1264,1264,0
,,11,0,6690,805,68664,128,0,0,0.1,1.5,0,0,1331,1331,0
,,12,0,8229,990,84459,141,0,0,0.1,1.5,0,0,1398,1398,0
,,13,0,12343,1485,126688,169,0,0,0.1,1.5,0,0,1537,1537,0
,,1,1,9,1,88,0,0,0,0,0,0,0,0,0,0
,,2,1,11,1,110,0,0,0,0,0,0,0,0,0,0
,,3,1,13,2,132,0,0,0,0,0,0,0,0,0,0
,,4,1,15,2,154,0,0,0,0,0,0,0,0,0,0
,,5,1,17,2,176,0,0,0,0,0,0,0,0,0,0
,,6,1,24,3,241,0,0,0,0,0,0,0,0,0,0
,,7,1,30,4,307,0,0,0,0,0,0,0,0,0,0
,,8,1,36,4,373,0,0,0,0,0,0,0,0,0,0
,,9,1,45,5,461,0,0,0,0,0,0,0,0,0,0
,,10,1,53,6,548,0,0,0,0,0,0,0,0,0,0
,,11,1,64,8,658,0,0,0,0,0,0,0,0,0,0
,,12,1,77,9,790,0,0,0,0,0,0,0,0,0,0
,,13,1,115,13,1185,0,0,0,0,0,0,0,0,0,0
