name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Athelas,3,1,0,153,21,2574,23,0,0.2,0.1,1.5,0,0,593,575,0
,,2,0,249,33,4183,28,0,0.2,0.1,1.5,0,0,652,632,0
,,3,0,363,49,6113,32,0,0.2,0.1,1.5,0,0,711,690,0
,,4,0,631,85,10618,37,0,0.2,0.1,1.5,0,0,771,747,0
,,5,0,937,126,15766,41,0,0.2,0.1,1.5,0,0,830,805,0
,,6,0,1358,183,22844,53,0,0.2,0.1,1.5,0,0,889,862,0
,,7,0,2429,327,40862,64,0,0.2,0.1,1.5,0,0,949,920,0
,,8,0,3079,414,51802,76,0,0.2,0.1,1.5,0,0,1008,977,0
,,9,0,3882,522,65315,87,0,0.2,0.1,1.5,0,0,1067,1035,0
,,10,0,4839,651,81403,99,0,0.2,0.1,1.5,0,0,1127,1092,0
,,11,0,5986,805,100708,110,0,0.2,0.1,1.5,0,0,1186,1150,0
,,12,0,7363,990,123874,122,0,0.2,0.1,1.5,0,0,1245,1207,0
,,13,0,11044,1485,185811,146,0,0.2,0.1,1.5,0,0,1369,1327,0
,,1,1,8,1,129,0,0,0,0,0,0,0,0,0,0
,,2,1,10,1,161,0,0,0,0,0,0,0,0,0,0
,,3,1,12,2,193,0,0,0,0,0,0,0,0,0,0
,,4,1,13,2,225,0,0,0,0,0,0,0,0,0,0
,,5,1,15,2,257,0,0,0,0,0,0,0,0,0,0
,,6,1,21,3,354,0,0,0,0,0,0,0,0,0,0
,,7,1,27,4,451,0,0,0,0,0,0,0,0,0,0
,,8,1,33,4,547,0,0,0,0,0,0,0,0,0,0
,,9,1,40,5,676,0,0,0,0,0,0,0,0,0,0
,,10,1,48,6,804,0,0,0,0,0,0,0,0,0,0
,,11,1,57,8,965,0,0,0,0,0,0,0,0,0,0
,,12,1,69,9,1158,0,0,0,0,0,0,0,0,0,0
,,13,1,103,13,1737,0,0,0,0,0,0,0,0,0,0
