name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Titi,2,1,0,171,31,2808,19,0,0,0.1,1.5,0,0,514,484,0
,,2,0,278,50,4563,23,0,0,0.1,1.5,0,0,566,532,0
,,3,0,406,73,6669,27,0,0,0.1,1.5,0,0,617,581,0
,,4,0,705,127,11583,31,0,0,0.1,1.5,0,0,669,629,0
,,5,0,1047,189,17199,35,0,0,0.1,1.5,0,0,720,678,0
,,6,0,1518,274,24921,45,0,0,0.1,1.5,0,0,771,726,0
,,7,0,2715,490,44577,54,0,0,0.1,1.5,0,0,823,774,0
,,8,0,3441,621,56511,64,0,0,0.1,1.5,0,0,874,823,0
,,9,0,4339,783,71253,74,0,0,0.1,1.5,0,0,926,871,0
,,10,0,5408,976,88803,83,0,0,0.1,1.5,0,0,977,920,0
,,11,0,6690,1207,109863,93,0,0,0.1,1.5,0,0,1029,968,0
,,12,0,8229,1485,135135,103,0,0,0.1,1.5,0,0,1080,1016,0
,,13,0,12343,2227,202702,123,0,0,0.1,1.5,0,0,1188,1117,0
,,1,1,9,2,140,0,0,0,0,0,0,0,0,0,0
,,2,1,11,2,176,0,0,0,0,0,0,0,0,0,0
,,3,1,13,2,211,0,0,0,0,0,0,0,0,0,0
,,4,1,15,3,246,0,0,0,0,0,0,0,0,0,0
,,5,1,17,3,281,0,0,0,0,0,0,0,0,0,0
,,6,1,24,4,386,0,0,0,0,0,0,0,0,0,0
,,7,1,30,5,491,0,0,0,0,0,0,0,0,0,0
,,8,1,36,7,597,0,0,0,0,0,0,0,0,0,0
,,9,1,45,8,737,0,0,0,0,0,0,0,0,0,0
,,10,1,53,10,878,0,0,0,0,0,0,0,0,0,0
,,11,1,64,12,1053,0,0,0,0,0,0,0,0,0,0
,,12,1,77,14,1264,0,0,0,0,0,0,0,0,0,0
,,13,1,115,21,1896,0,0,0,0,0,0,0,0,0,0
