name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
HoundMaster,2,1,0,257,46,4212,21,0,0,0.1,1.5,0,0,566,532,0
,,2,0,417,75,6845,26,0,0,0.1,1.5,0,0,622,586,0
,,3,0,609,110,10004,30,0,0,0.1,1.5,0,0,679,639,0
,,4,0,1058,191,17375,34,0,0,0.1,1.5,0,0,735,692,0
,,5,0,1571,284,25799,38,0,0,0.1,1.5,0,0,792,745,0
,,6,0,2276,411,37382,49,0,0,0.1,1.5,0,0,849,799,0
,,7,0,4072,735,66866,60,0,0,0.1,1.5,0,0,905,852,0
,,8,0,5162,932,84767,70,0,0,0.1,1.5,0,0,962,905,0
,,9,0,6509,1175,106880,81,0,0,0.1,1.5,0,0,1018,958,0
,,10,0,8112,1464,133205,92,0,0,0.1,1.5,0,0,1075,1012,0
,,11,0,10036,1811,164795,102,0,0,0.1,1.5,0,0,1131,1065,0
,,12,0,12344,2228,202703,113,0,0,0.1,1.5,0,0,1188,1118,0
,,13,0,18516,3342,304054,135,0,0,0.1,1.5,0,0,1306,1229,0
,,1,1,13,2,211,0,0,0,0,0,0,0,0,0,0
,,2,1,16,3,263,0,0,0,0,0,0,0,0,0,0
,,3,1,19,4,316,0,0,0,0,0,0,0,0,0,0
,,4,1,22,4,369,0,0,0,0,0,0,0,0,0,0
,,5,1,26,5,421,0,0,0,0,0,0,0,0,0,0
,,6,1,35,6,579,0,0,0,0,0,0,0,0,0,0
,,7,1,45,8,737,0,0,0,0,0,0,0,0,0,0
,,8,1,55,10,895,0,0,0,0,0,0,0,0,0,0
,,9,1,67,12,1106,0,0,0,0,0,0,0,0,0,0
,,10,1,80,15,1316,0,0,0,0,0,0,0,0,0,0
,,11,1,96,17,1580,0,0,0,0,0,0,0,0,0,0
,,12,1,115,21,1895,0,0,0,0,0,0,0,0,0,0
,,13,1,172,31,2842,0,0,0,0,0,0,0,0,0,0
