name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Oceanee,3,1,0,230,31,3861,25,0,0.2,0.1,1.5,0,0,652,632,0
,,2,0,373,50,6274,30,0,0.2,0.1,1.5,0,0,717,695,0
,,3,0,545,73,9170,35,0,0.2,0.1,1.5,0,0,783,759,0
,,4,0,947,127,15927,40,0,0.2,0.1,1.5,0,0,848,822,0
,,5,0,1406,189,23649,46,0,0.2,0.1,1.5,0,0,913,885,0
,,6,0,2037,274,34266,58,0,0.2,0.1,1.5,0,0,978,948,0
,,7,0,3643,490,61293,71,0,0.2,0.1,1.5,0,0,1044,1012,0
,,8,0,4619,621,77703,83,0,0.2,0.1,1.5,0,0,1109,1075,0
,,9,0,5824,783,97973,96,0,0.2,0.1,1.5,0,0,1174,1138,0
,,10,0,7258,976,122104,109,0,0.2,0.1,1.5,0,0,1239,1201,0
,,11,0,8979,1207,151062,121,0,0.2,0.1,1.5,0,0,1304,1264,0
,,12,0,11045,1485,185811,134,0,0.2,0.1,1.5,0,0,1370,1328,0
,,13,0,16567,2227,278716,160,0,0.2,0.1,1.5,0,0,1507,1460,0
,,1,1,12,2,193,0,0,0,0,0,0,0,0,0,0
,,2,1,14,2,241,0,0,0,0,0,0,0,0,0,0
,,3,1,17,2,290,0,0,0,0,0,0,0,0,0,0
,,4,1,20,3,338,0,0,0,0,0,0,0,0,0,0
,,5,1,23,3,386,0,0,0,0,0,0,0,0,0,0
,,6,1,32,4,531,0,0,0,0,0,0,0,0,0,0
,,7,1,40,5,676,0,0,0,0,0,0,0,0,0,0
,,8,1,49,7,821,0,0,0,0,0,0,0,0,0,0
,,9,1,60,8,1014,0,0,0,0,0,0,0,0,0,0
,,10,1,72,10,1207,0,0,0,0,0,0,0,0,0,0
,,11,1,86,12,1448,0,0,0,0,0,0,0,0,0,0
,,12,1,103,14,1738,0,0,0,0,0,0,0,0,0,0
,,13,1,154,21,2607,0,0,0,0,0,0,0,0,0,0
