name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Glugrgly,1,1,0,243,35,2984,24,0,0.3,0.1,1.5,0,0,666,599,0
,,2,0,395,56,4848,29,0,0.3,0.1,1.5,0,0,732,659,0
,,3,0,577,82,7086,34,0,0.3,0.1,1.5,0,0,799,719,0
,,4,0,1002,143,12307,38,0,0.3,0.1,1.5,0,0,865,779,0
,,5,0,1488,213,18274,43,0,0.3,0.1,1.5,0,0,932,839,0
,,6,0,2157,308,26479,55,0,0.3,0.1,1.5,0,0,998,898,0
,,7,0,3858,551,47363,67,0,0.3,0.1,1.5,0,0,1065,958,0
,,8,0,4890,699,60043,79,0,0.3,0.1,1.5,0,0,1131,1018,0
,,9,0,6166,881,75706,91,0,0.3,0.1,1.5,0,0,1198,1078,0
,,10,0,7685,1098,94353,103,0,0.3,0.1,1.5,0,0,1264,1138,0
,,11,0,9507,1358,116729,115,0,0.3,0.1,1.5,0,0,1331,1198,0
,,12,0,11694,1671,143581,127,0,0.3,0.1,1.5,0,0,1398,1258,0
,,13,0,17541,2506,215371,152,0,0.3,0.1,1.5,0,0,1537,1383,0
,,1,1,12,2,149,0,0,0,0,0,0,0,0,0,0
,,2,1,15,2,187,0,0,0,0,0,0,0,0,0,0
,,3,1,18,3,224,0,0,0,0,0,0,0,0,0,0
,,4,1,21,3,261,0,0,0,0,0,0,0,0,0,0
,,5,1,24,4,298,0,0,0,0,0,0,0,0,0,0
,,6,1,33,5,410,0,0,0,0,0,0,0,0,0,0
,,7,1,43,6,522,0,0,0,0,0,0,0,0,0,0
,,8,1,52,7,634,0,0,0,0,0,0,0,0,0,0
,,9,1,64,9,783,0,0,0,0,0,0,0,0,0,0
,,10,1,76,11,932,0,0,0,0,0,0,0,0,0,0
,,11,1,91,13,1119,0,0,0,0,0,0,0,0,0,0
,,12,1,109,16,1343,0,0,0,0,0,0,0,0,0,0
,,13,1,163,24,2014,0,0,0,0,0,0,0,0,0,0
