name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Sabertusk,4,1,0,257,31,2633,29,0,0,0.1,1.5,0,0,732,732,0
,,2,0,417,50,4278,35,0,0,0.1,1.5,0,0,805,805,0
,,3,0,609,73,6252,41,0,0,0.1,1.5,0,0,878,878,0
,,4,0,1058,127,10859,47,0,0,0.1,1.5,0,0,952,952,0
,,5,0,1571,189,16124,53,0,0,0.1,1.5,0,0,1025,1025,0
,,6,0,2276,274,23363,67,0,0,0.1,1.5,0,0,1098,1098,0
,,7,0,4072,490,41791,82,0,0,0.1,1.5,0,0,1171,1171,0
,,8,0,5162,621,52979,97,0,0,0.1,1.5,0,0,1244,1244,0
,,9,0,6509,783,66800,111,0,0,0.1,1.5,0,0,1318,1318,0
,,10,0,8112,976,83253,126,0,0,0.1,1.5,0,0,1391,1391,0
,,11,0,10036,1207,102997,141,0,0,0.1,1.5,0,0,1464,1464,0
,,12,0,12344,1485,126689,155,0,0,0.1,1.5,0,0,1537,1537,0
,,13,0,18516,2227,190033,186,0,0,0.1,1.5,0,0,1690,1690,0
,,1,1,13,2,132,0,0,0,0,0,0,0,0,0,0
,,2,1,16,2,165,0,0,0,0,0,0,0,0,0,0
,,3,1,19,2,197,0,0,0,0,0,0,0,0,0,0
,,4,1,22,3,230,0,0,0,0,0,0,0,0,0,0
,,5,1,26,3,263,0,0,0,0,0,0,0,0,0,0
,,6,1,35,4,362,0,0,0,0,0,0,0,0,0,0
,,7,1,45,5,461,0,0,0,0,0,0,0,0,0,0
,,8,1,55,7,559,0,0,0,0,0,0,0,0,0,0
,,9,1,67,8,691,0,0,0,0,0,0,0,0,0,0
,,10,1,80,10,823,0,0,0,0,0,0,0,0,0,0
,,11,1,96,12,987,0,0,0,0,0,0,0,0,0,0
,,12,1,115,14,1185,0,0,0,0,0,0,0,0,0,0
,,13,1,172,21,1777,0,0,0,0,0,0,0,0,0,0
