name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Gurrgly,5,1,0,120,17,1560,22,0,0,0.1,1.5,0,0,550,550,0
,,2,0,195,28,2535,26,0,0,0.1,1.5,0,0,605,605,0
,,3,0,285,41,3705,31,0,0,0.1,1.5,0,0,660,660,0
,,4,0,495,71,6435,35,0,0,0.1,1.5,0,0,715,715,0
,,5,0,735,105,9555,40,0,0,0.1,1.5,0,0,770,770,0
,,6,0,1065,152,13845,51,0,0,0.1,1.5,0,0,825,825,0
,,7,0,1905,272,24765,62,0,0,0.1,1.5,0,0,880,880,0
,,8,0,2415,345,31395,73,0,0,0.1,1.5,0,0,935,935,0
,,9,0,3045,435,39585,84,0,0,0.1,1.5,0,0,990,990,0
,,10,0,3795,542,49335,95,0,0,0.1,1.5,0,0,1045,1045,0
,,11,0,4695,671,61035,106,0,0,0.1,1.5,0,0,1100,1100,0
,,12,0,5775,825,75075,117,0,0,0.1,1.5,0,0,1155,1155,0
,,13,0,8662,1237,112612,140,0,0,0.1,1.5,0,0,1270,1270,0
,,1,1,6,1,78,0,0,0,0,0,0,0,0,0,0
,,2,1,8,1,98,0,0,0,0,0,0,0,0,0,0
,,3,1,9,1,117,0,0,0,0,0,0,0,0,0,0
,,4,1,11,2,137,0,0,0,0,0,0,0,0,0,0
,,5,1,12,2,156,0,0,0,0,0,0,0,0,0,0
,,6,1,17,2,215,0,0,0,0,0,0,0,0,0,0
,,7,1,21,3,273,0,0,0,0,0,0,0,0,0,0
,,8,1,26,4,332,0,0,0,0,0,0,0,0,0,0
,,9,1,32,5,410,0,0,0,0,0,0,0,0,0,0
,,10,1,38,5,488,0,0,0,0,0,0,0,0,0,0
,,11,1,45,6,585,0,0,0,0,0,0,0,0,0,0
,,12,1,54,8,702,0,0,0,0,0,0,0,0,0,0
,,13,1,81,12,1053,0,0,0,0,0,0,0,0,0,0
