name,class,star,type,attack,defense,hp,speed,pure_damage,skill_damage,crit_rate,crit_damage,cc_resistance,armor_break,accuracy,dodge,damage_reduction
Mrrgly,2,1,0,76,14,1248,16,0,0,0.1,1.5,0,0,425,400,0
,,2,0,124,22,2028,19,0,0,0.1,1.5,0,0,468,440,0
,,3,0,181,33,2964,22,0,0,0.1,1.5,0,0,510,480,0
,,4,0,314,57,5148,26,0,0,0.1,1.5,0,0,553,520,0
,,5,0,466,84,7644,29,0,0,0.1,1.5,0,0,595,560,0
,,6,0,675,122,11076,37,0,0,0.1,1.5,0,0,638,600,0
,,7,0,1207,218,19812,45,0,0,0.1,1.5,0,0,680,640,0
,,8,0,1530,276,25116,53,0,0,0.1,1.5,0,0,723,680,0
,,9,0,1929,348,31668,61,0,0,0.1,1.5,0,0,765,720,0
,,10,0,2404,434,39468,69,0,0,0.1,1.5,0,0,808,760,0
,,11,0,2974,537,48828,77,0,0,0.1,1.5,0,0,850,800,0
,,12,0,3658,660,60060,85,0,0,0.1,1.5,0,0,893,840,0
,,13,0,5487,990,90090,102,0,0,0.1,1.5,0,0,982,924,0
,,1,1,4,1,62,0,0,0,0,0,0,0,0,0,0
,,2,1,5,1,78,0,0,0,0,0,0,0,0,0,0
,,3,1,6,1,94,0,0,0,0,0,0,0,0,0,0
,,4,1,7,1,109,0,0,0,0,0,0,0,0,0,0
,,5,1,8,1,125,0,0,0,0,0,0,0,0,0,0
,,6,1,11,2,172,0,0,0,0,0,0,0,0,0,0
,,7,1,13,2,218,0,0,0,0,0,0,0,0,0,0
,,8,1,16,3,265,0,0,0,0,0,0,0,0,0,0
,,9,1,20,4,328,0,0,0,0,0,0,0,0,0,0
,,10,1,24,4,390,0,0,0,0,0,0,0,0,0,0
,,11,1,29,5,468,0,0,0,0,0,0,0,0,0,0
,,12,1,34,6,562,0,0,0,0,0,0,0,0,0,0
,,13,1,51,9,843,0,0,0,0,0,0,0,0,0,0
